caseId,dateDecision,decisionType,usCite,sctCite,term,naturalCourt,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2010-016,2/22/11,1,562 U.S. 277,131 S. Ct. 1101,2010,1704,09-520,"CSX TRANSPORTATION, INC., PETITIONER v. ALABAMA DEPARTMENT OF REVENUE et al.",11/10/10,,231,,19,1,1,0,42,,31,,0,12,2,1,1,4,0,1,0,0,80100,8,1,0,4,,6,600,49 USCA 11501,114,111,1,7,2
2010-017,2/23/11,1,562 U.S. 307,131 S. Ct. 1120,2010,1704,09-996,"JAMES WALKER, WARDEN, et al., PETITIONERS v. CHARLES W. MARTIN",11/29/10,,28,6,215,,1,0,49,,29,,0,11,4,2,1,3,0,1,0,0,20330,2,1,0,7,4,8,800,NA,109,111,1,9,0
2010-018,2/23/11,1,562 U.S. 323,131 S. Ct. 1131,2010,1704,08-1314,"DELBERT WILLIAMSON, et al., PETITIONERS v. MAZDA MOTOR OF AMERICA, INC., et al.",11/3/10,,208,,189,,1,0,302,6,301,6,0,5,2,2,1,3,0,1,0,0,100030,10,1,0,5,7,9,900,NA,110,111,1,8,0
2010-020,3/1/11,1,562 U.S. 397,131 S. Ct. 1177,2010,1704,09-1279,"FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. AT&T INC. et al.",1/19/11,,338,,205,,1,0,23,,23,,0,12,1,1,1,3,0,1,0,0,50040,5,1,0,4,5,3,335,NA,111,111,1,8,0
2010-021,3/1/11,1,562 U.S. 411,131 S. Ct. 1186,2010,1704,09-400,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",11/2/10,,250,,151,,1,0,65,,27,,0,12,3,1,1,4,0,1,0,0,20060,2,2,0,4,,6,600,38 USCA 4311,105,111,1,8,0
2010-022,3/1/11,1,562 U.S. 428,131 S. Ct. 1197,2010,1704,09-1036,"DORETHA H. HENDERSON, AUTHORIZED REPRESENTATIVE OF DAVID L. HENDERSON, DECEASED, PETITIONER v. ERIC K. SHINESKI, SECRETARY OF VETERANS AFFAIRS",12/6/10,,250,,414,,1,0,6,,8,,1,12,2,1,1,4,0,1,0,0,20250,2,2,0,5,4,6,600,38 USCA 7266,112,111,1,8,0
2010-026,3/7/11,1,562 U.S. 562,131 S. Ct. 1259,2010,1704,09-1163,"GLEN SCOTT MILNER, PETITIONER v. DEPARTMENT OF THE NAVY",12/1/10,,218,,377,,1,0,129,,29,,0,2,2,1,1,4,0,1,0,0,50040,5,2,0,4,,3,335,NA,114,111,1,8,1
2010-027,3/7/11,1,562 U.S. 521,131 S. Ct. 1289,2010,1704,Sep-00,"HENRY W. SKINNER, PETITIONER v. LYNN SWITZER, DISTRICT ATTORNEY FOR THE 31ST JUDICIAL DISTRICT OF TEXAS",10/13/10,,215,,19,51,1,0,120,,25,,0,2,2,1,1,4,0,1,0,0,20400,2,2,0,4,,3,314,NA,109,111,1,6,3
2010-028,3/21/11,2,562 U.S. 594,131 S. Ct. 1305,2010,1704,10-797,T. FELKNER v. STEVEN FRANK JACKSON,,,28,6,126,,1,0,49,,29,,0,12,3,2,1,4,0,1,0,0,20040,2,1,0,7,,3,341,NA,,111,1,9,0
2010-029,3/22/11,1,563 U.S. 1,131 S. Ct. 1325,2010,1704,09-834,"KEVIN KASTEN, PETITIONER v. SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION",10/13/10,,145,,151,,1,0,133,,27,,1,2,2,1,1,5,0,1,0,0,70040,7,2,0,4,,3,334,NA,110,111,1,6,2
